link,title
https://www.youtube.com/watch?v=20vL006gE0g,Is growth mindset actually real? Eddie Woo on the Solutionists
https://www.youtube.com/watch?v=KUjVZrOtY_M,Is lifelong learning really possible? Eddie Woo on the Solutionists
https://www.youtube.com/watch?v=gzrda27mTVk,Eddie Woo's Wonderful World of STEM | Studio 10
https://www.youtube.com/watch?v=h9Fliim1Vfw,Jack the Hunter (2 of 2: Explaining the trick)
https://www.youtube.com/watch?v=08jKmKMTeHU,Jack the Hunter (1 of 2: Performing the trick)
https://www.youtube.com/watch?v=A4P2017v1AI,Question 30 (this year's HSC Mathematics Advanced exam)
https://www.youtube.com/watch?v=or3yo-AEM5Q,Worked Probability Questions (3 of 3: Disease testing)
https://www.youtube.com/watch?v=DqWNXmIyRB0,Worked Probability Questions (2 of 3: Selecting sock pairs)
https://www.youtube.com/watch?v=gAi27KJGvHI,Worked Probability Questions (1 of 3: Venn diagram)
https://www.youtube.com/watch?v=mekgMZUBKMI,Circumcentre of a Triangle (2 of 2: Proving orthogonality)
https://www.youtube.com/watch?v=ioISr8G8-oY,Circumcentre of a Triangle (1 of 2: Finding the bisector vector)
https://www.youtube.com/watch?v=BmBblzC3B-Q,Vector Geometry Proofs (3 of 3: Using deductive vector logic)
https://www.youtube.com/watch?v=Kt5cycDPUoc,Vector Geometry Proofs (2 of 3: Angle in a semicircle)
https://www.youtube.com/watch?v=FDvnEVOqdAw,Vector Geometry Proofs (1 of 3: An unexpected quadrilateral property)
https://www.youtube.com/watch?v=hxexBEdL2Qc,9 News segment: Preparing for HSC exams
https://www.youtube.com/watch?v=jcRD4ZZjWc0,Cartesian & Vector Equations (3 of 3: Solving vector equations)
https://www.youtube.com/watch?v=tf44wnbxack,Cartesian & Vector Equations (2 of 3: Line equation)
https://www.youtube.com/watch?v=5G4tpBh2EPI,Cartesian & Vector Equations (1 of 3: Circle equation)
https://www.youtube.com/watch?v=bMI7yU3_vxY,Introduction to Spheres (3 of 3: Determining points of intersection)
https://www.youtube.com/watch?v=ZcNPhaXXaeU,Introduction to Spheres (2 of 3: Creating simultaneous equations to solve)
https://www.youtube.com/watch?v=2Vyx6PjR3u4,Introduction to Spheres (1 of 3: General equations)
https://www.youtube.com/watch?v=GEq-qaKHlwM,Top 3 Studying Tips!
https://www.youtube.com/watch?v=8X_gs3Bn0O4,3D Line Problems (3 of 3: Meeting at right angles)
https://www.youtube.com/watch?v=krZmbAspzwo,3D Line Problems (2 of 3: Showing orthogonality)
https://www.youtube.com/watch?v=j7p-rL5M2rE,3D Line Problems (1 of 3: Equation between two points)
https://www.youtube.com/watch?v=8P5RqnWR_2E,Lines in Three Dimensions (3 of 3: Finding an intersection point)
https://www.youtube.com/watch?v=Wfbftnj2-Z0,Lines in Three Dimensions (2 of 3: Generalising the pattern)
https://www.youtube.com/watch?v=ohdhGQMioGk,Lines in Three Dimensions (1 of 3: How to extend from 2D)
https://www.youtube.com/watch?v=fvC6JSeu1QQ,Understanding Vector Projections (3 of 3: Exploring applications)
https://www.youtube.com/watch?v=cc4zLc7nQO8,Understanding Vector Projections (2 of 3: Alternative formulas + worked example)
https://www.youtube.com/watch?v=2llkh4-IPWM,Understanding Vector Projections (1 of 3: Deriving the simplest formula)
https://www.youtube.com/watch?v=u8EXwqBG54E,News Report: Maths Workshops at Kooringal High School
https://www.youtube.com/watch?v=rTJjngILAcs,Dot Product & Angles (3 of 3: Orthogonal vectors)
https://www.youtube.com/watch?v=VtaGhAe_25E,Dot Product & Angles (1 of 3: Foundational ideas)
https://www.youtube.com/watch?v=3KbI2o7cO7o,Dot Product & Angles (2 of 3: Measuring between vectors)
https://www.youtube.com/watch?v=wFO4Ii1yxG8,Graphing √f(x) (2 of 2: Visualising the square root)
https://www.youtube.com/watch?v=zIlWydHUrDc,Graphing √f(x) (1 of 2: Visualising the original function)
https://www.youtube.com/watch?v=09iri7KgvyU,Dot Product (2 of 2: Extending into 3D)
https://www.youtube.com/watch?v=UqpY07EiwCU,Dot Product (1 of 2: Geometric interpretation)
https://www.youtube.com/watch?v=W6FDiVHMo_g,Pigeonhole Principle (2 of 2: Generalising the cases)
